District,D Lite %,D Deluxe %,D Classic %,R Lite %,R Reluxe %,R Classic %
IN-1,0.99896,0.9998999999999999,0.99982,0.00104,0.0001,0.00018
KS-4,0.16198,0.0742,0.19892000000000004,0.8380199999999999,0.9258,0.80108
KS-3,0.46867999999999993,0.40009999999999996,0.30294,0.5313,0.59988,0.69706
KS-2,0.44310000000000005,0.52806,0.52464,0.55682,0.47186,0.47528
KS-1,0.0003,4.0e-05,4.0e-05,0.9997,0.99996,0.99996
KY-6,0.48548,0.49802,0.43238,0.51452,0.50198,0.56762
KY-5,0.00012,2.0e-05,2.0e-05,0.99988,0.9999800000000001,0.9999800000000001
KY-4,0.00688,0.00066,0.00068,0.99312,0.99934,0.99932
KY-3,0.9995,0.99804,0.99682,0.00048,0.00194,0.00316
KY-2,0.0049,0.0014200000000000003,0.00154,0.99508,0.9985599999999999,0.99844
KY-1,0.00118,0.00018,0.00022000000000000003,0.99882,0.99982,0.9997799999999999
LA-6,0.0004,4.0e-05,4.0e-05,0.9982799999999998,0.99976,0.9997799999999999
LA-5,0.00904,0.00062,0.00064,0.9909599999999998,0.99938,0.99936
LA-4,0.02528,0.00144,0.00166,0.97468,0.99854,0.99832
LA-3,0.00014,6.0e-05,6.0e-05,0.12638,0.1395,0.13896
LA-2,1.0,1.0,1.0,0,0,0
LA-1,2.0e-05,0.0,0.0,0.99972,0.9999800000000001,0.9999800000000001
MA-9,0.9988800000000001,0.99744,0.9957,0.00112,0.00256,0.0043
MA-8,1.0,1.0,1.0,0,0,0
MA-7,1.0,1.0,1.0,0,0,0
MA-6,0.99914,0.9998,0.9997,0.00086,0.0002,0.0003
MA-5,0.9999800000000001,0.9999800000000001,0.9999800000000001,2.0e-05,2.0e-05,2.0e-05
MA-4,1.0,1.0,1.0,0,0,0
MA-3,0.99598,0.9997399999999999,0.99952,0.00402,0.00026,0.00048
MA-2,0.99972,0.99996,0.99996,0.00028,4.0e-05,4.0e-05
MA-1,1.0,1.0,1.0,0,0,0
MD-8,0.99992,0.9999800000000001,0.99996,8.0e-05,2.0e-05,4.0e-05
MD-7,1.0,1.0,1.0,0.0,0.0,0.0
MD-6,0.9732,0.99638,0.9941200000000001,0.0268,0.00362,0.00588
MD-5,0.99994,1.0,1.0,6.0e-05,0.0,0.0
MD-4,1.0,1.0,1.0,0.0,0.0,0.0
MD-3,0.99982,0.99992,0.9998999999999999,0.00018,8.0e-05,0.0001
MD-2,0.99982,0.9999800000000001,0.99994,0.00018,2.0e-05,6.0e-05
MD-1,0.00786,0.00684,0.00852,0.99212,0.99314,0.99146
ME-2,0.33448,0.43024,0.38314,0.6655200000000001,0.56976,0.61686
ME-1,0.99884,0.99832,0.99738,0.00116,0.00168,0.00262
MI-9,0.96384,0.99654,0.99472,0.03616,0.0034599999999999995,0.00528
MI-8,0.3071,0.48616,0.46438,0.6929,0.51384,0.53562
MI-7,0.22397999999999998,0.27844,0.4114,0.77602,0.7215599999999999,0.5886
MI-6,0.2509,0.11512,0.1513,0.74908,0.8848600000000001,0.84868
MI-5,0.99708,0.99954,0.9994,0.00292,0.00046,0.0006
MI-4,0.04382,0.0027999999999999995,0.0032600000000000003,0.9561800000000001,0.9972,0.99674
MI-3,0.20114,0.01248,0.01878,0.7988599999999999,0.98752,0.98122
MI-2,0.06554,0.02826,0.05748,0.93442,0.9717199999999999,0.9425
MI-14,1.0,1.0,1.0,0.0,0.0,0.0
MI-13,1.0,1.0,1.0,0,0,0
MI-12,0.9998599999999999,0.99996,0.99996,0.00014,4.0e-05,4.0e-05
MI-11,0.6855,0.7254,0.72454,0.3145,0.2746,0.27546
MI-10,0.015260000000000001,0.00166,0.0017600000000000003,0.98474,0.99834,0.99824
MI-1,0.06038,0.12496,0.19052,0.93962,0.87504,0.80948
MN-8,0.56686,0.5364,0.49752,0.43306,0.4635,0.5024
MN-7,0.5475,0.93598,0.89562,0.4525,0.06402,0.10438
MN-6,0.02308,0.00156,0.0017600000000000003,0.9769200000000001,0.99844,0.99824
MN-5,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
MN-4,0.99992,0.9999800000000001,0.99996,8.0e-05,2.0e-05,4.0e-05
MN-3,0.7803,0.7265599999999999,0.799,0.21969999999999998,0.27344,0.201
MN-2,0.6006,0.7721800000000001,0.83298,0.3994,0.22782,0.16702000000000003
MN-1,0.34001999999999993,0.45158000000000004,0.3783000000000001,0.65998,0.54842,0.6217
MO-8,0.00026,2.0e-05,6.0e-05,0.9997,0.99994,0.9998999999999999
MO-7,0.00044000000000000007,0.00018,0.00018,0.99956,0.99982,0.99982
MO-6,0.00466,0.0004,0.00048,0.9953400000000001,0.9996,0.99952
MO-5,0.99874,0.99952,0.99932,0.00126,0.00048,0.00068
MO-4,0.0015,0.0008,0.0009,0.9985,0.9992,0.9991
MO-3,0.00154,0.00018,0.00022000000000000003,0.99844,0.9998,0.99976
MO-2,0.21294000000000002,0.09132,0.13872,0.78706,0.90868,0.86128
MO-1,1.0,1.0,1.0,0.0,0.0,0.0
MS-4,0.0285,0.0057,0.008,0.9715,0.9943,0.992
MS-3,0.05444,0.00474,0.00676,0.94556,0.9952600000000001,0.99324
MS-2,0.99616,1.0,1.0,0,0,0
MS-1,0.0151,0.00122,0.00136,0.98484,0.99874,0.9986
MT-1,0.39926,0.25092,0.28382,0.6007,0.7490400000000002,0.71614
NC-9,0.64016,0.6630800000000001,0.65656,0.35984,0.33692,0.34344
NC-8,0.07934,0.09926,0.15532,0.92066,0.90074,0.84468
NC-7,0.2538,0.06276,0.17278,0.74616,0.93722,0.8271599999999999
NC-6,0.07758,0.08726,0.2235,0.92242,0.91274,0.7765
NC-5,0.05444,0.02712,0.04966,0.94556,0.97288,0.95034
NC-4,0.99994,1.0,0.99996,6.0e-05,0.0,2.0e-05
NC-3,0,0,0,1.0,1.0,1.0
NC-2,0.47378,0.27196,0.33676,0.52622,0.72804,0.6632400000000002
NC-13,0.28702,0.37436,0.44356,0.7129800000000001,0.62564,0.55644
NC-12,0.99996,0.99996,0.99996,4.0e-05,4.0e-05,4.0e-05
NC-11,0.00878,0.0035000000000000005,0.00412,0.99122,0.9965,0.99588
NC-10,0.01724,0.00262,0.003,0.98276,0.99738,0.997
NC-1,0.9999800000000001,1.0,1.0,2.0e-05,0.0,0.0
ND-1,0.0599,0.0109,0.01764,0.9401,0.9891,0.98236
NE-3,0.00028,2.0e-05,2.0e-05,0.99972,0.9999800000000001,0.9999800000000001
NE-2,0.3836,0.4986,0.62168,0.6164,0.5014,0.37832
NE-1,0.04056,0.00156,0.0017600000000000003,0.9594400000000001,0.99844,0.99824
NH-2,0.99162,0.99466,0.99116,0.00838,0.00534,0.00884
NH-1,0.74406,0.86316,0.8441199999999999,0.25594,0.13684,0.15588
NJ-9,0.99994,0.9999800000000001,0.9999800000000001,6.0e-05,0.0,0.0
NJ-8,1.0,1.0,1.0,0.0,0.0,0.0
NJ-7,0.48544,0.6303,0.67118,0.51456,0.3697,0.32882
NJ-6,0.99934,0.99994,0.99992,0.00066,6.0e-05,8.0e-05
NJ-5,0.8155,0.97056,0.96042,0.1845,0.02944,0.03958
NJ-4,0.088,0.03108,0.0632,0.912,0.96892,0.9368
NJ-3,0.41958,0.50574,0.4464,0.58042,0.49424,0.5536
NJ-2,0.78496,0.9366600000000002,0.91456,0.21504,0.06334,0.08544
NJ-12,1.0,1.0,1.0,0.0,0.0,0.0
NJ-11,0.64152,0.8,0.7669799999999999,0.35847999999999997,0.2,0.23302
NJ-10,1.0,1.0,1.0,0.0,0.0,0.0
NJ-1,0.99988,0.99994,0.99992,0.00012,6.0e-05,8.0e-05
NM-3,0.99646,0.99996,0.99994,0.00354,4.0e-05,6.0e-05
NM-2,0.31858,0.29,0.29318,0.6814199999999999,0.71,0.70682
NM-1,0.8970600000000001,0.9939,0.9887599999999999,0.1029,0.0060799999999999995,0.01122
