Name,Party,District,Winner,Presumptive,Trimmed
Douglas Bennett,R,IL-10,X,,Douglas Bennett
Bill Foster,D,IL-11,X,,Bill Foster
Dominick Stella,R,IL-11,X,,Dominick Stella
Brendan Kelly,D,IL-12,X,,Brendan Kelly
Mike Bost,R,IL-12,X,,Mike Bost
Betsy Dirksen Londrigan,D,IL-13,X,,Betsy Dirksen Londrigan
Rodney Davis,R,IL-13,X,,Rodney Davis
Lauren A Underwood,D,IL-14,X,,Lauren A Underwood
Randy Hultgren,R,IL-14,X,,Randy Hultgren
Kevin Gaither,D,IL-15,X,,Kevin Gaither
John M Shimkus,R,IL-15,X,,John M Shimkus
Sara Dady,D,IL-16,X,,Sara Dady
Adam Kinzinger,R,IL-16,X,,Adam Kinzinger
Cheri Bustos,D,IL-17,X,,Cheri Bustos
Bill Fawell,R,IL-17,X,,Bill Fawell
Junius Rodriguez,D,IL-18,X,,Junius Rodriguez
Darin LaHood,R,IL-18,X,,Darin LaHood
Robin Kelly,D,IL-2,X,,Robin Kelly
David Merkle,R,IL-2,X,,David Merkle
Daniel Lipinski,D,IL-3,X,,Daniel Lipinski
Arthur Jones,R,IL-3,X,,Arthur Jones
Jesus Garcia,D,IL-4,X,,Jesus Garcia
Mark Lorch,R,IL-4,X,,Mark Lorch
Mike Quigley,D,IL-5,X,,Mike Quigley
Tom Hanson,R,IL-5,X,,Tom Hanson
Sean Casten,D,IL-6,X,,Sean Casten
Peter Roskam,R,IL-6,X,,Peter Roskam
Danny K Davis,D,IL-7,X,,Danny K Davis
Craig Cameron,R,IL-7,X,,Craig Cameron
Raja Krishnamoorthi,D,IL-8,X,,Raja Krishnamoorthi
Jitendra Diganvker,R,IL-8,X,,Jitendra Diganvker
Jan Schakowsky,D,IL-9,X,,Jan Schakowsky
John Elleson,R,IL-9,X,,John Elleson
Pete Visclosky,D,IN-1,X,,Pete Visclosky
Mark Leyva,R,IN-1,X,,Mark Leyva
Mel Hall,D,IN-2,X,,Mel Hall
Jackie Walorski,R,IN-2,X,,Jackie Walorski
Courtney Tritch,D,IN-3,X,,Courtney Tritch
Jim Banks,R,IN-3,X,,Jim Banks
Tobi Beck,D,IN-4,X,,Tobi Beck
Jim Baird,R,IN-4,X,,Jim Baird
Deirdre Thornton,D,IN-5,X,,Deirdre Thornton
Susan Brooks,R,IN-5,X,,Susan Brooks
Jeannine Lee Lake,D,IN-6,X,,Jeannine Lee Lake
Greg Pence,R,IN-6,X,,Greg Pence
Andre Carson,D,IN-7,X,,Andre Carson
Wayne Harmon,R,IN-7,X,,Wayne Harmon
William Tanoos,D,IN-8,X,,William Tanoos
Larry Bucshon,R,IN-8,X,,Larry Bucshon
Liz Watson,D,IN-9,X,,Liz Watson
Trey Hollingsworth,R,IN-9,X,,Trey Hollingsworth
Alan LaPolice,D,KS-1,X,,Alan LaPolice
Roger Marshall,R,KS-1,X,,Roger Marshall
Paul Davis,D,KS-2,X,,Paul Davis
Steve Watkins,R,KS-2,X,,Steve Watkins
Sharice Davids,D,KS-3,X,,Sharice Davids
Kevin Yoder,R,KS-3,X,,Kevin Yoder
James Thompson,D,KS-4,X,,James Thompson
Ron Estes,R,KS-4,X,,Ron Estes
Paul Walker,D,KY-1,X,,Paul Walker
James Comer,R,KY-1,X,,James Comer
Hank Linderman,D,KY-2,X,,Hank Linderman
Brett Guthrie,R,KY-2,X,,Brett Guthrie
John A Yarmuth,D,KY-3,X,,John A Yarmuth
Vickie Glisson,R,KY-3,X,,Vickie Glisson
Seth Hall,D,KY-4,X,,Seth Hall
Thomas Massie,R,KY-4,X,,Thomas Massie
Kenneth Stepp,D,KY-5,X,,Kenneth Stepp
Hal Rogers,R,KY-5,X,,Hal Rogers
Amy McGrath,D,KY-6,X,,Amy McGrath
Andy Barr,R,KY-6,X,,Andy Barr
Richard Neal,D,MA-1,X,,Richard Neal
Jim McGovern,D,MA-2,X,,Jim McGovern
Tracy Lovvorn,R,MA-2,X,,Tracy Lovvorn
Lori Trahan,D,MA-3,,X,Lori Trahan
Rick Green,R,MA-3,X,,Rick Green
Joe Kennedy,D,MA-4,X,,Joe Kennedy
Katherine Clark,D,MA-5,X,,Katherine Clark
John Hugo,R,MA-5,X,,John Hugo
Seth Moulton,D,MA-6,X,,Seth Moulton
Joseph Schneider,R,MA-6,X,,Joseph Schneider
Ayanna Pressley,D,MA-7,X,,Ayanna Pressley
Stephen Lynch,D,MA-8,X,,Stephen Lynch
Bill Keating,D,MA-9,X,,Bill Keating
Peter Tedeschi,R,MA-9,X,,Peter Tedeschi
Jesse Colvin,D,MD-1,X,,Jesse Colvin
Andy Harris,R,MD-1,X,,Andy Harris
Dutch Ruppersberger,D,MD-2,X,,Dutch Ruppersberger
Liz Matory,R,MD-2,X,,Liz Matory
John Sarbanes,D,MD-3,X,,John Sarbanes
Charles Anthony,R,MD-3,X,,Charles Anthony
Anthony Brown,D,MD-4,X,,Anthony Brown
George McDermott,R,MD-4,X,,George McDermott
Steny H Hoyer,D,MD-5,X,,Steny H Hoyer
William Devine,R,MD-5,X,,William Devine
David Trone,D,MD-6,X,,David Trone
Amie Hoeber,R,MD-6,X,,Amie Hoeber
